row,date,description,town,lat,lon,status,thumbnail_url,video_url
11,2026-06-11,israeli soldiers adaissah,Adaissah,33.25556389,35.54078056,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-11_israeli_soldiers_adaissah_mmirleb_17602.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-11_israeli_soldiers_adaissah_mmirleb_17602.mp4
12,2026-06-11,Merkava tank tayr harfa ababil drone,Tayr Harfa,33.126925,35.21875556,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-11_merkava_tank_tayr_harfa_ababil_drone.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-11_merkava_tank_tayr_harfa_ababil_drone.mp4
13,2026-06-10,Merkava tank beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-10_merkava_tank_beaufort_castle.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-10_merkava_tank_beaufort_castle.mp4
14,2026-06-10,Humvee yahmar al shaqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-10_humvee_yahmar_al_shaqif.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-10_humvee_yahmar_al_shaqif.mp4
16,2026-06-09,Namer apc metula southern outskirts khiam,Khiam,33.32690833,35.61120556,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-09_namer_apc_metula_southern_outskirts_khiam.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-09_namer_apc_metula_southern_outskirts_khiam.mp4
17,2026-06-08,Strike on enemy vehicles near yahmor al shqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-08_strike_on_enemy_vehicles_near_yahmor_al_shqif.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-08_strike_on_enemy_vehicles_near_yahmor_al_shqif.mp4
18,2026-06-08,Command and control vehicle beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-08_command_and_control_vehicle_beaufort_castle.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-08_command_and_control_vehicle_beaufort_castle.mp4
21,2026-06-07,Merkava tank beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-07_merkava_tank_beaufort_castle.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-07_merkava_tank_beaufort_castle.mp4
22,2026-06-07,Command namer vehicle yahmor al shqif,Yahmor al-Shaqif,33.30935556,35.51621944,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-07_command_namer_vehicle_yahmor_al_shqif.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-07_command_namer_vehicle_yahmor_al_shqif.mp4
23,2026-06-06,Sholef howitzer adaissah,Adaissah,33.25556389,35.54078056,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-06_sholef_howitzer_adaissah.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-06_sholef_howitzer_adaissah.mp4
24,2026-06-06,Merkava tank blat position,Jabal Blat,33.1145337,35.2905355,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-06_merkava_tank_blat_position.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-06_merkava_tank_blat_position.mp4
25,2026-06-06,artillery vehicle adaissah,Adaissah,33.25556389,35.54078056,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-06_artillery_vehicle_adaissah_mmirleb_17504.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-06_artillery_vehicle_adaissah_mmirleb_17504.mp4
26,2026-06-05,Humvee near khiam,Khiam,33.32690833,35.61120556,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-05_humvee_near_khiam.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-05_humvee_near_khiam.mp4
27,2026-06-05,soldiers khiam,Khiam,33.32690833,35.61120556,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-05_soldiers_khiam_mmirleb_17315.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-05_soldiers_khiam_mmirleb_17315.mp4
28,2026-06-05,merkava tank beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-05_merkava_tank_beaufort_castle_mmirleb_17447.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-05_merkava_tank_beaufort_castle_mmirleb_17447.mp4
29,2026-06-04,Merkava tank beaufort castle 02,Beaufort Castle,33.32401389,35.53186389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-04_merkava_tank_beaufort_castle_02.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-04_merkava_tank_beaufort_castle_02.mp4
30,2026-06-04,Merkava tank beaufort castle,Beaufort Castle,33.32401389,35.53186389,mapped,https://d2fioemadmrru3.cloudfront.net/thumbnails/2026-06-04_merkava_tank_beaufort_castle.jpg,https://d2fioemadmrru3.cloudfront.net/videos/2026-06-04_merkava_tank_beaufort_castle.mp4
